,bigram_cluster_0,bigram_cluster_1,bigram_cluster_2,bigram_cluster_3,bigram_cluster_4,bigram_freq_cluster_0,bigram_freq_cluster_1,bigram_freq_cluster_2,bigram_freq_cluster_3,bigram_freq_cluster_4
0,un security,state of,state of,state of,un security,33,73,13,28,61
1,state news,al qaeda,hamas which,state television,state department,23,57,12,11,52
2,state media,state media,hamas militants,al wefaq,state of,22,19,11,7,50
3,state tv,state news,hamas said,state media,al qaeda,20,13,9,6,23
4,state television,state television,hamas in,state to,state television,17,12,9,4,22
5,al qaeda,state and,hamas the,state tv,state hillary,17,12,8,4,16
6,un secretarygeneral,state capital,hamas movement,senate seats,un sanctions,11,12,8,4,14
7,un envoy,al jazeera,hamas leader,state and,al jazeera,9,12,7,4,14
8,state hillary,state officials,hamas and,state the,un resolution,8,11,7,3,13
9,un says,state tv,hamas is,state mr,state condoleezza,8,10,6,3,13
10,un and,state the,un and,al khalifa,un secretary,7,10,5,3,11
11,un peacekeeping,state in,hamas says,senate race,un secretarygeneral,7,10,5,3,10
12,clinton said,state department,un report,state assembly,un says,6,8,5,3,10
13,un human,al qaedas,hamas seized,state in,un said,6,7,5,2,10
14,un resolution,pentagon spokesman,hamas officials,state basically,senate majority,6,7,5,2,9
15,un spokesman,state police,un has,clinton has,state media,5,7,4,2,9
16,state of,un secretarygeneral,hamas military,clinton had,pentagon spokesman,5,6,4,2,9
17,un said,state security,hamas has,clinton campaign,clinton said,5,6,4,2,9
18,state in,un security,hamas spokesman,state until,state news,5,6,4,2,8
19,un mission,state mexico,hamas to,senate the,un general,5,6,4,2,8
20,un chief,al qaedalinked,state hillary,state but,un envoy,4,5,4,2,8
21,state john,van der,hamas militant,al nuaimi,un high,4,5,3,2,7
22,un observers,un secretary,hamas was,state law,state tv,4,5,3,2,6
23,un high,state funeral,hamas a,state with,state the,4,5,3,2,6
24,state department,al jazeeras,hamas but,state is,state and,4,4,3,2,6
