,bigram_cluster_0,bigram_cluster_1,bigram_cluster_2,bigram_cluster_3,bigram_cluster_4,bigram_freq_cluster_0,bigram_freq_cluster_1,bigram_freq_cluster_2,bigram_freq_cluster_3,bigram_freq_cluster_4
0,said the,said the,gaza strip,has been,said the,198,825,125,106,622
1,have been,have been,said the,said the,has been,169,807,103,94,377
2,president bashar,had been,israel and,will be,have been,124,456,56,94,357
3,were killed,has been,israel has,had been,will be,112,414,55,80,329
4,had been,according to,had been,said he,had been,109,304,52,68,308
5,killed in,were killed,have been,have been,united states,102,277,51,65,265
6,has been,killed in,has been,mr sharif,said he,100,263,44,62,262
7,been killed,told the,said it,expected to,would be,91,232,43,52,210
8,according to,said it,were killed,told the,said it,66,231,41,50,209
9,arab league,said he,according to,would be,is a,64,189,35,50,198
10,government forces,was a,told the,is a,told the,63,183,32,49,194
11,said it,been killed,gaza the,gen musharraf,said in,61,183,30,49,193
12,united nations,said in,will be,according to,said that,54,180,30,45,190
13,said in,will be,gaza and,said that,is the,54,179,30,40,176
14,told the,is a,blockade of,says the,according to,52,176,26,38,172
15,said that,said that,killed in,head of,is not,44,173,26,37,167
16,control of,hundreds of,gaza in,be held,did not,42,148,26,36,143
17,trying to,is the,said in,was a,north korea,40,144,26,36,129
18,hundreds of,said they,is a,say the,was a,39,128,25,35,127
19,forces and,was the,says the,vote in,says the,36,125,24,34,117
20,said he,died in,is the,is expected,was the,35,124,24,33,116
21,said a,killed and,said that,did not,could be,35,122,24,32,103
22,began in,said a,did not,said mr,going to,35,121,23,32,102
23,united states,says the,gaza city,suu kyi,expected to,35,119,23,31,102
24,has said,said on,would be,general election,end of,34,117,23,31,101
