,bigram_cluster_0,bigram_cluster_1,bigram_cluster_2,bigram_cluster_3,bigram_cluster_4,bigram_freq_cluster_0,bigram_freq_cluster_1,bigram_freq_cluster_2,bigram_freq_cluster_3,bigram_freq_cluster_4
0,al qaeda,al qaeda,sharon has,al wefaq,bin laden,17,57,5,7,35
1,clinton said,bin laden,sharon says,s and,al qaeda,6,53,2,3,23
2,al qaedalinked,al jazeera,sharon is,bush said,bush administration,3,12,2,3,19
3,al jazeera,hu jintao,sharon won,al khalifa,bush said,2,10,2,3,19
4,clinton has,bin ladens,sharon and,gilani has,al jazeera,2,9,1,2,14
5,al bakhit,bush said,al aqsa,clinton has,bush and,2,8,1,2,11
6,al aziziya,al qaedas,bush praised,clinton had,bin ladens,2,7,1,2,10
7,bin jabr,jack straw,bush said,clinton campaign,clinton said,2,6,1,2,9
8,bin jassim,al qaedalinked,sharon reaffirmed,s jayakumar,bush is,2,5,1,2,8
9,clinton is,al jazeeras,al dirdissawi,bush described,kim jongil,2,4,1,2,7
10,clinton urged,clinton said,eric cantona,bush won,eric holder,2,4,1,2,6
11,al arabi,bin attash,s palestinian,bin eisa,hu jintao,1,4,1,2,6
12,al assads,s the,clinton for,bin laden,al shabaab,1,4,1,2,4
13,al zor,bush administration,clinton these,al nuaimi,jack straw,1,4,1,2,4
14,al atassi,s were,clinton and,hu is,bush told,1,3,1,2,4
15,s troops,s or,al jazeera,al gore,kim jong,1,3,1,2,4
16,s own,s and,al qaedas,s he,bush in,1,3,1,1,4
17,s hospital,al galaa,al qassam,gilani smiled,kelly said,1,3,1,1,4
18,s men,mm mortar,sharon called,gilani made,clinton will,1,3,1,1,3
19,kelly said,eric holder,sharon that,gilani stood,bush was,1,3,1,1,3
20,clinton uk,bush declared,s office,gilani said,s for,1,3,1,1,3
21,s before,bush and,bush administrations,s today,bush will,1,3,1,1,3
22,al thani,s in,bush had,s jeremy,gilani said,1,2,1,1,3
23,bin guidara,warren weinstein,sharon the,gilani is,gilani told,1,2,1,1,3
24,al khalifa,bush paid,clinton said,clinton despite,bush had,1,2,1,1,3
